,id,Цитата,Автор
528,528,"Уметь приказывать и уметь повиноваться — два полюса, а чтобы построить шар, два полюса и нужны.",Р. Роллан
529,529,"Когда народ имеет таких начальников, которые под­меняют его в делах управления, то, как бы эти начальники ни назывались, они всегда будут составлять ари­стократию.",Ж.-Ж. Руссо
530,530,"Законодательная власть — сердце государства, власть исполнительная — его мозг.",Ж.-Ж. Руссо
531,531,"Все, что является нравственным злом, является злом и в политике.",Ж.-Ж. Руссо
532,532,"Недолговечна та власть, которая управляет во вред народу.",Сенека Младший
533,533,"Только тогда принимай в руки власть, когда на­учишься повиноваться.",Солон
534,534,"Нельзя называться политиком, если не обладаешь терпением и способностью сдерживать гнев.",Стендаль
535,535,"Каждый князь должен править так, как он хотел бы, чтобы правили им, если бы он был подданным.",У. Темпл
536,536,Власть одного человека над другим губит прежде всего властвующего.,Л. Толстой
537,537,"Тот, кто боится ответственности, не может быть руководителем.",М. Торез
538,538,"Властолюбие, вытекающее из стремления наслаж­даться почетом и всеми атрибутами власти, люди презирают.",Л. Д. Ушинский
539,539,Всякое чрезмерное предусмотрительное управление убивает самостоятельность и энергию управляемых.,У. Филлипс
540,540,"В политике неторопливое упорство всегда берет верх над необузданной силой, тщательно разрабатываемый план — над романтикой.",С. Цвейг
541,541,"Политические деятели не руководствуются любовью или ненавистью, их направляют интересы, а не чувства.",Ф. Честерфилд
542,542,Крутой правитель властвует недолго.,Ф. Шиллер
543,543,"Задача жизни не в том, чтобы быть на стороне большинства, а в том, чтобы жить согласно с внутренним  осознаваемым тобою законом.",Марк Аврелий
544,544,Нравственные качества обнаруживаются в связи с намерением.,Аристотель
545,545,"Природа дала человеку в руки оружие — интеллек­туальную моральную силу, но он может пользоваться этим оружием и в обратную сторону, поэтому человек без нравственных устоев оказывается существом и самым нечестивым и диким, низменным в своих половых и вкусовых инстинктах.",Аристотель
546,546,"Нравственная сила, как и мысль, безгранична.",О. Бальзак
547,547,"Нет иной морали, кроме той, которая основана на принципах разума и вытекает из естественной склонности человека к добру.",П. Бейль
548,548,"Что такое нравственность? В чем должна состоять нравственность? В твердом, глубоком убеждении, в пламенной, непоколебимой вере в достоинство человека, в его высокое назначение. Это убеждение, эта вера есть источник всех человеческих добродетелей, всех дейст­вий.",В. Г. Белинский
549,549,"То, что хорошо в политике, не может быть дурно в морали.",Бентам
550,550,"Нравственные правила походят на знаки, которые указывают путь на поприще жизни и показывают под­водные камни.",Ц. Буаст
551,551,"Нравы портятся легче, чем исправляются.",Л. Вовенарг
552,552,Великие мысли исходят от сердца.,Л. Вовенарг
553,553,"Есть люди, которые относятся к нравственности, как некоторые архитекторы к домам: на первый план ставит­ся удобство.",Л. Вовенарг
554,554,"Людям необходима основанная на природе человека, на опыте, на разуме человеческая мораль.",К. Гельвеций
555,555,Для человека нет блаженства в безнравственности; в нравственности и добродетели только и достигает он высшего блаженства.,А. И. Герцен
556,556,"Говорить, что нравственные идеалы врожденны или представляются результатом инстинкта,— это все равно, что утверждать, будто человек способен читать, не зная еще букв алфавита.",П. Гольбах
557,557,"Нравственность есть наука об отношениях, сущест­вующих между людьми, и об обязанностях, вытекающих из этих отношений.",П. Гольбах
558,558,"Конечная цель морали должна заключаться в том, чтобы дать наибольшую возможность осуществить идеалы.",Ж. Гюйо
559,559,Делающий постыдное должен прежде всего стыдить­ся самого себя.,Демокрит
560,560,Недостаточно определять нравственность верностью своим убеждениям. Надо еще беспрерывно возбуждать в себе вопрос: верны ли мои убеждения?,Ф. М. Достоевский
561,561,"Нравственно только то, что совпадает с вашим чув­ством красоты и с идеалом, в котором вы ее воплощаете.",Ф. М. Достоевский
562,562,Лучшие люди познаются высшим нравственным раз­витием и высшим нравственным влиянием.,Ф. М. Достоевский
563,563,"Мораль — не перечень поступков и не сборник пра­вил, которыми можно пользоваться, как аптекарскими или кулинарными рецептами.",Д. Дьюи
564,564,"Разум может подсказать, чего следует избегать, и только сердце говорит, что следует делать.",Ж. Жубер
565,565,"Склоняющийся над павшим распрямляется во весь рост, поднимающий других возвышает себя.",Р. Ингерсолл
566,566,Нравственность должна лежать в характере.,Кант
567,567,Этика есть философия убеждения.,И. Кант
568,568,"Мораль есть учение не о том, как мы должны считать себя счастливыми, а о том, как мы должны стать достойными счастья.",П. Кант
569,569,Мысль без морали — недомыслие; мораль без мыс­ли — фанатизм.,В. О. Ключевский
570,570,"Под именем нравственности мы разумеем не только внешние приличия, но всю внутреннюю основу побуждений.",Я. Коменский
571,571,"Порядочен тот, кто свое право измеряет своим дол­гом.",Ж. Лакордер
572,572,"Нравственная стойкость в преуспеянии еще важнее, чем в невзгодах.",Ф. Ларошфуко
573,573,"Нравственность служит для того, чтобы человече­скому обществу подняться выше.",В. И. Ленин
574,574,"Раб, сознающий свое рабское положение и борющий­ся против него, есть революционер. Раб, не сознающий своего рабства и прозябающий в молчаливой, бессозна­тельной и бессловесной рабской жизни, есть просто раб. Раб, у которого слюнки текут, когда он самодовольно описывает прелести рабской жизни и восторгается доб­рым и хорошим господином, есть холоп, хам.",И. И. Ленин
575,575,Испорченность нравов гибельна для республик и выгодна для абсолютных монархий и деспотической власти.,Д. Леопарди
576,576,"Основное положение всякой морали: делай для твое­го ближнего то же, что ты хочешь, чтобы он делал для тебя. Понятие всеобщей человеческой солидарности есть высшее понятие культуры и морали.",В. Либкнехт
577,577,"Нравственные правила нуждаются в доказательст­вах, следовательно, они не врожденны.",Д. Локк Мораль
578,578,"Нравственность — это, несомненно, самое важное в жизни; она, возможно, сама воля к жизни.",Т. Манн
579,579,"Если правильно понятый интерес составляет прин­цип всей морали, то надо, стало быть, стремиться к тому, чтобы частный интерес отдельного человека совпадал с общечеловеческими интересами.","К. Маркс, Ф. Энгельс"
580,580,"Существуют истины, в которых недостаточно убедить кого-либо, но которые надо дать почувствовать; именно таковы истины морали.",Ш. Монтескье
581,581,"Подчинение правде, независимой от личных интере­сов и желаний,— в этом вся честность, вся нравственность.",П. П. Огарев
582,582,"О нравственных качествах человека нужно судить не по отдельным его усилиям, а по его повседневной жизни.",Паскаль
583,583,"Все наше достоинство в том, что мы способны мыс­лить. Будем же стараться мыслить правильно: в этом основа морали.",Паскаль
584,584,Без здравого смысла все правила нравственности ненадежны.,И. Пирогов
585,585,Умственное спокойствие покупается ценой нравст­венного достоинства.,Д. И. Писарев
586,586,"Не человек для нравственности, а нравственность для человека.",Г. В. Плеханов
587,587,"Нравственность, оторванная от жизни, так же без­нравственна, как жизнь, утратившая всякое нравственное содержание.",Г. В. Плеханов
588,588,Высшая нравственность — это жертва своей лично­сти в пользу коллектива.,М. М. Пришвин
589,589,"Нравственность есть отношение силы разума к силе чувства. Чем сильнее чувство и чем ближе к нему разум, тем больше человек в его человеческом деле.",М. М. Пришвин
590,590,Этика — попытка придать всеобщую значимость некоторым нашим желаниям.,Б. Рассел
591,591,В области нравственности не следует высказывать свою добродетель по малозначительным поводам: девственностью не хвастаются.,А. Ривароль
592,592,"Там, где не велик нравственный облик, нет великого человека.",Р. Роллан
593,593,Главное условие нравственности — желание стать нравственным.,Сенека Младший
594,594,"Круг нравственных обязанностей гораздо шире того, что предписывают законы.",Сенека Младший
595,595,Не может быть коммунистической морали без эле­ментарной человечности.,В. А. Сухомлинский
596,596,"Добрые нравы имеют большее значение, чем хорошие законы.",Тацит
597,597,Высшей целью человеческих стремлений является высоконравственный характер.,Э. Тельман
598,598,Разумное и нравственное всегда совпадают.,Л. Н. Толстой
599,599,Усилие есть необходимое условие нравственного совершенствования.,Л. Н. Толстой
600,600,"Нравственный человек составляет противополож­ность Антею: силу свою он обретает не от прикосновения к земле, а поднимая глаза ввысь, к далекому и с виду недоступному идеалу.",А. Фулье
601,601,Важнейший капитал нации — нравственные качест­ва народа.,Н. Г. Чернышевский
602,602,"Чем выше человек по умственному и нравственному развитию, тем он свободнее, тем большее удовольствие доставляет ему жизнь.",А. П. Чехов
603,603,"Наслаждайся и дари наслаждения, не причиняя зла ни себе, ни другим,— в этом заключается суть нравственности.",Н. Шамфор
604,604,"Самая губительная ошибка, которая когда-либо была сделана в мире, — это отделение политической науки от нравственной.",П. Шелли
605,605,"Нравственность делает более утонченными нравы, а нравы, в свою очередь,— нравственность.",М. Эбнер-Ошенбах
606,606,"Прямая линия в морали, как и в математике,— это самый короткий путь.",М. Эджуорт
607,607,В конечном счете основой всех человеческих ценно­стей служит нравственность.,А. Эйнштейн
608,608,"Истинный показатель цивилизации — не уровень богатства и образования, не величина городов, не обилие урожаев, а облик человека, воспитываемого страной.",Р. Эмерсон
609,609,"Нельзя жить приятно, не живя разумно, нравственно и справедливо, и, наоборот, нельзя жить разумно, нрав­ственно и справедливо, не живя приятно.",Эпикур
610,610,"Обвинить можно и невинного, но обличить — толь­ко виновного.",А Пулей
611,611,"Нравы — это люди, законы — разум страны. Нравы нередко более жестоки, чем законы. Нравы, часто неразумные, берут верх над законами.",О. Бальзак
612,612,Взаимное наблюдение граждан друг за другом делает преступление невозможным.,О. Бальзак
613,613,"Закон — это не паутина, сквозь которую крупные мухи пробираются, а мелкие застревают.",О. Бальзак
614,614,"Ничто так плохо не знаем, как то, что каждый дол­жен знать: закон.",О. Бальзак
615,615,"В беду падают, как в пропасть, вдруг, но в преступ­ление сходят по ступеням.",А. А. Бестужев-Марлинский
616,616,Плохие законы — худший вид тирании.,Э. Бёрк
617,617,Возможность украсть создает вора.,Ф. Бэкон
618,618,"Судьи должны помнить, что их дело — истолковать закон, а не даровать его.",Ф. Бэкон
619,619,"Один несправедливый приговор влечет большие бед­ствия, чем многие преступления, совершенные частны­ми людьми; последние портят только ручьи, только одинокие струи воды, тогда как несправедливый судья портит самый источник.",Ф. Бэкон
620,620,"Закон должен быть строг, а люди — снисходительны.",Л. Вовенарг
621,621,"Суровость закона говорит о его человеколюбии, а суровость человека — о его узости и жестокости.",Л. Вовенарг
622,622,"Кто более строг, чем законы, тот — тиран.",Л. Вовенарг
623,623,"Законы нужны не только для того, чтобы устрашать граждан, но и для того, чтобы помогать им.",Ф. Вольтер
624,624,"Многочисленность законов в государстве есть то же, что большое число лекарей: признак болезни и бессилия.",Ф. Вольтер
625,625,Только слабые совершают преступления: сильному и счастливому они не нужны.,Ф. Вольтер
626,626,"Закон не может быть законом, если за ним нет силь­ного.",М. Ганди
627,627,"Не быть подчиненным никакому закону, значит быть лишенным самой спасительной защиты, ибо законы должны нас защищать не только от других, но и от себя самих.",Г. Гейне
628,628,Реформу нравов следует начинать с реформы зако­нов.,Г. Гельвеций
629,629,"Народ должен защищать закон, как свой оплот, как охранительную свою стену.",Гераклит
630,630,"Позорно не наказание, а преступление.",Гердер
631,631,Страшные преступления влекут за собой страшные последствия.,А. И. Герцен
632,632,"Судья, который не способен карать, становится в конце концов сообщником преступления.",И. Гёте
633,633,"Предосторожность проста, а раскаяние многосложно.",И. Гёте
634,634,"Собственное сознание своей правоты важнее для человека, нежели двое свидетелей его невиновности.",Т. Гиппель
635,635,Правосудие есть основание всех общественных доб­родетелей.,П. Гольбах
636,636,Подлецы — самые строгие судьи.,М. Горький.
637,637,Сознание нрава развивает сознание долга.,В. Гюго
638,638,"Вылечив подбитое крыло коршуна, становишься от­ветственным за его когти.",В. Гюго
639,639,"Не важно, на чьей стороне сила; важно то, на чьей стороне право.",В. Гюго
640,640,"Законы пишутся для обыкновенных людей, поэтому они должны основываться на обыкновенных правилах здравого смысла.",Т. Джефферсон
641,641,"Закон есть высшее проявление человеческой мудро­сти, использующее опыт людей на благо общества.",С. Джонсон
642,642,"Пусть присяжные прощают преступников, но беда, если преступники сами начинают прощать себя.",Ф. М. Достоевский
643,643,"Прекрасно сказано, что в споре двух сторон суд обе стороны обязан выслушать.",Еврипид
644,644,"Есть право мудрого, но нет права сильного.",Ж. Жубер
645,645,Лучшие законы рождаются из обычаев.,Ж. Жубер
646,646,"Честь и право утверждаются только посредством разума, а не оружия.",И. Зейме
647,647,Цель права — обеспечение мира; средство к его достижению — борьба.,В. Ирвинг
648,648,"Беззаконие никому не может быть зачтено в заслугу, не может вызвать к себе уважения.",А. Иазбеги
649,649,"Нет закона, который был бы всем но душе.",Катон Старший
650,650,"Нет негодяя, который был бы настолько глуп, что не нашел бы ни одного довода для оправдания своей подлости.",К. Кернер
651,651,Наказанный преступник — это пример для всех не­годяев; невннно осужденный — это вопрос совести всех честных людей.,Ж. Лабрюйер
652,652,"То, что связано с законом, дает право. Но само по себе это право не является ни правом разума, ни правом справедливости; это право силы.",Ж. Ламетри
653,653,Справедливость умеренного судьи свидетельствует о его любви к своему высокому положению.,Ф. Ларошфуко
654,654,"Каким бы тяжким позором мы себя ни покрыли, у нас почти всегда остается возможность восстановить свое доброе имя.",Ф. Ларошфуко
655,655,"Там, где правила игры не позволяют выиграть, английские джентльмены меняют правила.",Г. Ласки
656,656,"Про всякий закон можно сказать, что он касается общегосударственных потребностей!",В. П. Ленин
657,657,"Малейшее беззаконие, малейшее нарушение совет­ского порядка есть уже дыра, которую немедленно используют враги трудящихся.",В. И. Ленин
658,658,"Кто не карает зла, тот способствует, чтобы оно совершилось.",Леонардо да Винчи
659,659,"Самые высокие из законов — это записанные в серд­це, подразумевающиеся, и, чем больше таких у общества, тем выше его моральный уровень.",Л. М. Леонов
660,660,"Прежде чем осудить, всегда надо подумать, нельзя ли найти извинение.",Г. Лихтенберг
661,661,Величайшая твердость и есть величайшее милосер­дие.,Г. Лонгфелло
662,662,"Цель, которую себе ставят люди, объединенные законами, сводится к образованию общественной власти для предотвращения и пресечения насилия и неспра­ведливости отдельных лиц.",Г. Мабли
663,663,"Закон напрасно существует для тех, у кого нет ни мужества, ни средств защищать его.",Т. Маколей
664,664,"Где доносчики награждаются, там не будет недостат­ка в виноватых.",К. Мальзерб
665,665,"Я вообще не думаю, что личности должны служить гарантиями против законов; н, наоборот, думаю, что законы должны служить гарантиями против личностей.",К. Маркс
666,666,"Если законодательство не может декретировать нравственность, то оно еще в меньшей степени может провозглашать правом безнравственность.",И. Маркс
667,667,"Жестокость характерна для законов, продиктован­ных трусостью, ибо трусость может быть энергична, только будучи жестокой.",Маркс
668,668,Обвинитель и судья не могут совмещаться в одном лице.,Менандр
669,669,"Чтобы страна могла жить, нужно, чтобы жили права.",Лдам Мицкевич
670,670,"Тот, кто хочет обвинить, не вправе торопиться.",Ж. Мольер
671,671,Бесполезные законы ослабляют законы необходи­мые.,Ш. Монтескье
672,672,Жестокость законов препятствует их соблюдению.,Монтескье
673,673,"Самая жестокая тирания — та, которая выступает под плечем законности и под флагом справедливости.",Монтескье
674,674,Законы должны иметь для всех одинаковый смысл.,Ш. Монтескье
675,675,"Когда все остальные права попраны, право па восста­ние становится бесспорным.",Т. Пейн
676,676,Непоколебимое основание государств — справедли­вость.,Пиндар
677,677,"Где кончаются законы, там начинается тирания.",У. Питт
678,678,"Из свидетелей лучше один видевший, чем десять слышавших.",Плавт
679,679,"Кто защищает виновного, тот сам навлекает на себя обвинение.",Публилий Сир
680,680,"Кто попустительствует дурным людям, тот вредит хорошим.",Публилий Сир
681,681,"Судья, осуждающий невинного, осуждает самого себя",Публилий Сир
682,682,Жалость к палачам становится жестокостью но отно­шению к жертвам.,Р. Роллан
683,683,"Хорошие законы надо уважать, плохие отменять или изменять.",М. Русинек
684,684,"При дурных правительствах законы всегда полезны для имущих и вредны для тех, у кого ничего пет.",Ж.-Ж. Руссо
685,685,Опаснейший подводный камень для правосудия — это предубеждение.,Ж.-Ж. Руссо
686,686,"Закон должен быть краток, чтобы его легко могли запомнить и люди несведущие.",Сенека Младший
687,687,"Кто, имея возможность предупредить преступление, не делает этого, тот ему способствует.",Сенека Младший
688,688,Осуждение невинного есть осуждение самих судей.,Сенека Младший
689,689,"Щадя преступников, вредят честным людям.",Сенека Младший
690,690,Первое условие исправления — сознание своей вины.,Сенека Младший
691,691,Одни преступления открывают путь другим.,Сенека Младший
692,692,"Кто принимает решение, не выслушав обе стороны, поступает несправедливо, хотя бы решение это и было справедливое.",Сенека Младший
693,693,"Кто сознает свою невинность, тот неохотно унижа­ется до оправданий.",В. Скотт
694,694,"Дурные последствия преступлений живут гораздо дольше, чем сами преступления, и, подобно при­зракам убитых, всегда следуют по пятам за злодеем.",В. Скотт
695,695,Сущность права состоит в равновесии двух нрав­ственных интересов: личной свободы и общего блага.,В. С. Соловьев
696,696,"Ни адвокат, ни, тем паче, судья при исполнении своих обязанностей не имеют права поддаваться собственным чувствам.",Стивенсон
697,697,Хорошие законы порождены дурными правами.,Тацит
698,698,Образ мыслей ненаказуем.,Ульпиан
699,699,"Никакие выгоды, достигнутые ценой преступления, не могут вознаградить потерю душевного мира.",Филдинг
700,700,Человек беспристрастный и вдумчивый никогда не торопится произнести свой приговор.,Филдинг
701,701,"Ошибочное милосердие не только слабость, но гра­ничит с несправедливостью и весьма пагубно для общества, потому что поощряет порок.",Г. Филдинг
702,702,Законам слишком мягким редко повинуются; за­коны же слишком суровые редко приводятся в исполнение.,Б. Франклин
703,703,"Когда будут справедливы законы, будут справед­ливы и люди.",А. Франс
704,704,"Закон управляет людьми, разум — законом.",Т. Фуллер
705,705,Большое число соучастников не оправдывает пре­ступления.,Т. Фуллер
706,706,"Каждый мошенник рассчитывает на плохую па­мять того, кто должен быть обманут.",Ю. Фучик
707,707,Законы должны искоренять пороки и насаждать добродетели.,Цицерон
708,708,"Мы должны быть рабами законов, чтобы стать сво­бодными.",Цицерон
709,709,"Честный человек, садясь в судейское кресло, за­бывает о личных симпатиях.",Цицерон
710,710,"Судья — это говорящий закон, а закон — это немой судья.",Цицерон
711,711,Величайшее поощрение преступления — безнака­занность.,Цицерон
712,712,Нельзя полагаться на показания озлобленного сви­детеля.,Цицерон
713,713,"Когда выступают с обвинением против кого-либо, то нет ничего несправедливее останавливаться на длин­ном перечне фактов, говорящих против обвиняемого, и умалчивать о фактах, говорящих в его пользу.",Цицерон
714,714,"Не право рождает долг, но долг — право.",Ф. Шатобриан
715,715,Право сильного — это самое большое бесправие.,М. Эбнер-Эшенбах
716,716,Самый заклятый враг нрава — привилегия.,М. Эбнер-Эшенбах
717,717,"Мудрые люди знают, что неразумное законода­тельство подобно веревке из песка, рассыпающегося уже при попытке свить се.",Р. Эмерсон
718,718,Пороки народа почти всегда коренятся в его зако­нодательстве.,Э. Эчеверрия
719,719,"Первое наказание для виновного заключается в том, что он не может оправдаться перед собственным судом.",Ювенал
720,720,"Мы говорим на великом языке сознания и разума, перед которым бессилен язык религии.",А. Барбюс
721,721,"Одни святоши и слабые нуждаются в обольщени­ях, как в лекарстве.",А. Барбюс
722,722,"Человек страшится только того, чего не знает, зна­нием побеждается всякий страх.",В. Г. Белинский
723,723,Суеверие проходит с успехом цивилизации.,В. Г. Белинский
724,724,"В словах бог и религия вижу тьму, мрак, цепи и кнут.",Н. Г. Белинский
725,725,"Нет большего грешника, чем молодой святоша.",А. Беи
726,726,"Единственное лекарство против суеверия — это зна­ние, ничто другое не может вывести этого чумного пятна из человеческого ума.",Г. Бокль
727,727,"Во все времена и везде разные шарлатанства обла­гали податью невежество, страх и легковерие.",Буаст
728,728,"Народ, зараженный суеверием, неизлечим и ста­новится добычею шарлатанов всякого рода.",Буаст
729,729,Верить значит отказываться понимать.,П. Бурже
730,730,"Во все века естественная философия встречала до­кучливого и тягостного противника, а именно: суеве­рие и слепое, неумеренное религиозное рвение.",Ф. Бэкон
731,731,Наиболее суеверные эпохи были всегда эпохами самых ужасных преступлений.,Ф. Вольтер
732,732,"Величайшие распри производят меньше преступ­лений, чем религиозный фанатизм.",Ф. Вольтер
733,733,"Самый нелепый из всех деспотизмов, самый уни­зительный для человеческой природы, самый несо­образный и самый зловредный — это деспотизм свя­щенников.",Ф. Вольтер
734,734,"Суеверные в обществе то же, что трусливые в вой­ске: они сами чувствуют и возбуждают в других панический ужас.",Ф. Вольтер
735,735,"С религией получается то же, что с азартной игрой: начавши дураком, кончишь плутом.",Ф. Вольтер
736,736,"Споры древних философов были постоянно мирны, а споры богословов были часто кровавы и всегда бурны.",Ф. Вольтер
737,737,"При беспристрастном критическом сравнении и оценке оказывается, что и религия, и суеверие отличаются друг от друга лишь особой «формой веры» и внешней оболочкой исповедания.",Э. Геккель
738,738,Между религией и добродетелью нет ничего общего.,К. Гельвеций
739,739,Всякий религиозный догмат — это зародыш пре­ступлений и раздоров между людьми.,К. Гельвеций
740,740,"Чему учит нас история религий? Что они повсюду раздували пламя нетерпимости, устилали равнины трунами, поили землю кровью, сжигали города, опусто­шали государства; но они никогда не делали людей лучшими.",Я. Гельвеций
741,741,"Так как религиозная мораль никогда не основыва­лась на опыте, то царство теологии всегда считалось царством мрака.",К. Гельвеций
742,742,"Религия — это главная узда для масс, великое за­пугивание простаков, это какие-то колоссальных раз- мерок ширмы, которые препятствуют народу ясно ви­деть, что творится на земле, заставляя поднимать взоры к небесам.",А. И. Герцен
743,743,"Все религии основывали нравственность на покор­ности, то есть на добровольном рабстве.",А. И. Герцен
744,744,"Самые жесткие, неумолимые из всех людей, склон­ные к ненависти, преследованию,— это ультрарелигиозники.",А. И. Герцен
745,745,"Вера не начало, а конец всякой мудрости.",И. Гёте
746,746,"У кого есть наука, тот не нуждается в религии.",И. Гёте
747,747,Вся история церкви — смесь заблуждения и наси­лия.,Гёте
748,748,"Все религии дают нам лишь клубок вымыслов и бредней, возмущающих ум.",П. Гольбах
749,749,"Ожидание будущего блаженства и страх будущих мучений лишь помешали людям думать о том, чтобы стать счастливыми здесь, на земле.",Гольбах
750,750,Незнание естественных причин заставило челове­ка создать богов; обман превратил их в что-то грозное.,П. Гольбах
751,751,"Страх перед богом останавливает от греха только тех, кто не способен сильно желать или уже не в состоянии грешить.",Гольбах
752,752,"Невежество — первая предпосылка веры, и поэто­му церковь так высоко ее ценит.",Гольбах
753,753,"Всякая религия по сущности своей нетерпима, как в силу своих принципов, так и в силу своих интересов.",Гольбах
754,754,"Поклоняться богу — значит поклоняться вымыслу, созданному человеческим воображением, или попросту поклоняться тому, чего нет.",Гольбах
755,755,"Духовенство было бы весьма недовольно, если бы его духовный труд оплачивался духовно.",П. Гольбах
756,756,Долой разум! — вот основа религии.,П. Гольбах
757,757,"Человек суеверен только потому, что пуглив; он пуглив только потому, что невежествен.",П. Гольбах
758,758,"Евангелие действительно принесло «не мир, но меч» От апостолов и до нашего времени христианский мир раздирается ненавистью, преследованиями и яростью.",П. Гольбах
759,759,"Атеистическое наше время, усмехаясь над библей­ской легендой, считает, что бог — это псевдоним человеческой глупости.",М. Горький
760,760,Предрассудки — обломки старых истин.,М. Горький
761,761,"Чем больше мы познаем неизменные законы при­роды, тем все более невероятными становятся для нас чудеса.",Ч- Дарвин
762,762,"Нет таких отдаленных явлений, познания которых нельзя было бы достичь, и нет таких таинственных явлений, которые нельзя было бы понять.",Р. Декарт
763,763,"Прогресс человеческий несет с собой смертный при­говор и религиозной идее, и религиозному чувству.",Г. В. Плеханов
